tweet,majority_target,Unnamed: 0
"@POTUS Biden Blunders - 6 Month Update

Inflation, Delta mismanagement, COVID for kids, Abandoning Americans in Afghanistan, Arming the Taliban, S. Border crisis, Breaking job growth, Abuse of power (Many Exec Orders, $3.5T through Reconciliation, Eviction Moratorium)...what did I miss?",True,0
"@S0SickRick @Stairmaster_ @6d6f636869 Not as many people are literally starving and out in the streets as they were in the 19th century. Isnt capitalism grand?

Meanwhile, were facing an eviction moratorium threatening to make millions of Americans homeless.

Fuck off with this corporatist propaganda.",True,1
THE SUPREME COURT is siding with super rich property owners and over poor struggling AMERICANS by blocking the eviction moratorium during a pandemic which isn't even over yet. ASSHOLES! get ready for more homeless people!,True,2
"@POTUS Biden Blunders

Broken campaign promises, Inflation, Delta mismanagement, Dems without leadership, Abandoned Americans &amp; Armed the Taliban, S. Border crisis, Breaking job growth, Abuse of power (61 Exec Orders, $1.9T+ in Reconciliation, Eviction Moratorium, Vaccine Mandates)",True,3
"@OhComfy I agree. The confluence of events right now is unprecedented (Afghan disaster, bombing, overturning of the eviction moratorium, collapse of Biden admin credibility). If images come out of Americans being executed by Taliban, SHTF.",True,4
"I've said this before, but it really is incredibly the way in which Afghanistan has completely crowded out the things that are *actually* affecting ordinary Americans in national media coverage, from COVID to the eviction moratorium to climate change.",True,5
"As many face backlogged rent payments, Americans can observe that the eviction moratorium was simply a bandaid, and not a solution, to the issue of affordable housing in the U.S. Moving forward, policymakers must consider expanding Section 8 housing and voucher options #padp8670",True,6
"@Thomas1774Paine @JoeBiden
#DOJ@TheJusticeDept

#INSTRUCTING ?!
#SUPREME#COURT ?!

#DO#NOT#BLOCK
#NEW#EVICTION
#MORATORIUM ?!
~ ~
#AMERICANS
#DEPEND !!
ON
#EARNINGS
FROM
THESE
#INVESTMENTS !!
~ ~
@JoeBiden
&amp;
@TheJusticeDept

#ADMITTED
#UNCONSTITUTIONAL !!",True,7
@SocialismIsDone @TheeKHiveQueenB Its a win for AmericansIm not worried about taking credit; theyll do that no matter what! (Like with extension of eviction moratorium),True,8
"@daysofarelives2 @Sen_JoeManchin There is not and never has been stimulus checks in the plan,Joey Biden has already stated Americans dont need stimulus checks, unemployment, eviction moratorium, or rental and utility help, thats why he and the democrats let it all expire. Welcome to a democrat ran America",True,9
BREAKING NEWS: Mitch McConnell accuses President Biden of pushing socialism by implementing the eviction moratorium that will stop millions of Americans from being thrown out on the street this month. RT if you think that Mitch is a heartless idiot!,True,10
@aplemkseriously @CoriBush @CoriBush knew July was the final eviction moratorium extension and waited last minute to fight for Americans. Its just politics. Congress allowed Democrats to vote and they did not have enough votes.,True,11
"@LINDAKMILLS1 Why is everyone in such a hurry for this to pass? It's only a Democrat agenda. Not much help for Americans at all! It only helps ILLEGAL aliens, China, and our own members in government. No checks, no more help with food, no more eviction moratorium. OH....HIGHER taxes for us too",True,12
"No eviction moratorium, no unemployment aid, no good paying jobs to be found, and now we have this, The government is setting hard-hit Americans up for disaster by forcing them to pay back unemployment benefits.
Bunch of clowns are managing this country and destroying it.",True,13
"The extension of the eviction moratorium isnt a victory.

It was LATE, where vulnerable Americans were already evicted in the past couple of days. Also, the extension does NOT stop all evictions.

Reminder: The US Senate voted to increase the military budget by $25B.",True,14
"@Riguy_453 @PaulSorrentino3 @POTUS Trump didn't attempt to mandate mask!! Biden wanted to more than the vaccine but you can't get Republican AMEricans to comply 
It was the Supreme Court that knocked the eviction moratorium on the head. The Amy Coney Barratts. Another Trump dirty trick.",False,15
"@AndreaR03428969 People vote with their pockets. Working class Americans (especially Obama-Trump-Biden voters) will remember that extra money from Trump, Bidens reconciliation failure &amp; $15 minimum wage failure, the ending of child tax benefits and eviction moratorium, and vote for Trump again.",True,16
@dhiggins63 His eviction moratorium was deemed unconstitutional and so will his vaccine mandate. Bypassing the congress to effect 100M Americans is unconstitutional. He learned these moves from Obama.,True,17
